#Name	RA	Dec	B	V	R	I	J	H	K	L	M	N
 HD 338867  	297.1	27.2858	-99.999	 8.69	-99.999	-99.999	5.3	4.72	4.49	-99.999	-99.999	-99.999
 CU  VUL    	297.147	21.6261	-99.999	15.00	-99.999	-99.999	4.86	3.81	2.94	-99.999	-99.999	-99.999
 HD 187399  	297.174	29.4019	7.38	 7.12	6.82	6.66	-99.999	6.26	6.18	-99.999	-99.999	-99.999
 DF  CYG    	297.225	43.0375	-99.999	10.80	-99.999	-99.999	-99.999	-99.999	7.3	6.3	-99.999	-99.999
 HD 339034 B	297.545	24.9525	12.41	 9.36	6.6	4.49	3.13	2.14	1.66	1	-99.999	-99.999
 HD 187642  	297.688	8.86306	0.98	 0.76	0.62	0.49	0.35	0.24	0.24	0.19	0.2	-0.32
 CI  CYG    	297.55	35.6842	-99.999	 9.90	-99.999	-99.999	5.73	4.77	4.45	4.17	4.8	3.4
 HD 188119  	297.039	70.2672	4.73	 3.84	3.19	2.71	2.25	-99.999	1.68	1.54	-99.999	-99.999
 HD 187474  	297.96	-39.8739	5.27	 5.33	-99.999	-99.999	5.47	5.49	5.47	5.48	4.97	-99.999
 HD 187660  	297.796	-2.46	7.7	 6.13	-99.999	-99.999	3.23	-99.999	2.26	-99.999	-99.999	-99.999
 HD 187796  	297.641	32.9147	6.06	 4.24	1.81	-0.01	-0.4	-1.93	-2.09	-2.66	-2.85	-3.39
 HD 187849  	297.641	38.7206	6.81	 5.12	-99.999	-99.999	1.78	-99.999	0.65	-99.999	-99.999	-99.999
 HD 187811  	297.766	22.61	4.84	 4.96	4.98	5.12	5.22	5.28	5.19	4.9	-99.999	-99.999
 HD 187880  	297.695	37.8258	7.76	 6.06	-99.999	-99.999	1.79	-99.999	0.57	-99.999	-99.999	-99.999
 HD 187757  	297.868	4.47	-99.999	 8.30	-99.999	-99.999	4.34	3.38	2.91	2.33	-99.999	-99.999
 HD 188056  	297.657	52.9886	6.31	 5.03	-99.999	-99.999	-99.999	-99.999	2.23	-99.999	-99.999	-99.999
 HD 187921  	297.879	27.4608	7.86	 6.74	-99.999	-99.999	4.56	4.08	3.92	4	3.6	-99.999
 HD 187982/3	298.006	24.9919	6.28	 5.57	-99.999	-99.999	-99.999	-99.999	3.57	3.49	3.38	-99.999
 HD 187929  	298.12	1.00472	4.61	 3.80	-99.999	-99.999	2.42	2.06	1.97	1.89	-99.999	-99.999
 HD 188001  	298.09	18.6717	6.24	 6.23	-99.999	-99.999	6.08	6.08	6.08	6.05	-99.999	-99.999
 HD 188037  	298.125	22.4533	8.68	 7.76	5.07	2.33	0.85	-0.17	-0.54	-0.91	-99.999	-99.999
 HD 188149  	298.067	36.4319	7.53	 6.10	-99.999	-99.999	3.58	-99.999	2.68	-99.999	-99.999	-99.999
 HD 188209  	297.995	47.0272	5.55	 5.63	5.54	5.64	5.83	5.86	5.88	5.91	-99.999	-99.999
 HD 188154  	298.534	-8.57361	7.43	 5.79	-99.999	-99.999	2.65	-99.999	1.59	-99.999	-99.999	-99.999
 Z   SGE    	298.487	18.7875	-99.999	13.50	-99.999	-99.999	7.59	6.71	6.29	5.99	-99.999	-99.999
 HD 188114  	298.814	-41.8689	5.21	 4.13	-99.999	-99.999	2.29	1.65	1.56	1.49	-99.999	-99.999
 HD 188485  	298.629	24.3189	5.5	 5.52	-99.999	-99.999	5.6	5.59	5.6	5.58	-99.999	-99.999
 HD 188510  	298.79	10.7361	9.41	 8.83	-99.999	-99.999	7.55	7.18	7.13	7.02	-99.999	-99.999
 HD 188378  	298.981	-29.1878	7.66	 6.15	-99.999	-99.999	2.12	1.32	0.83	0.29	-99.999	-99.999
 HD 188339  	299.044	-38.3261	-99.999	 7.60	-99.999	-99.999	3.27	2.38	2.17	2.03	-99.999	-99.999
 HD 188512  	298.827	6.41306	4.58	 3.72	3.05	2.56	2.2	1.71	1.66	1.62	1.7	-99.999
 HD 188727  	299.005	16.6347	6.03	 5.36	-99.999	-99.999	4.21	3.86	3.76	3.63	-99.999	-99.999
 HD 188947  	299.077	35.0833	4.96	 3.93	3.19	2.66	2.17	1.69	1.62	1.53	1.65	-99.999
 HD 188915  	299.39	-1.88472	-99.999	 7.80	-99.999	-99.999	1.67	0.73	0.31	-0.61	-1.02	-2.46
 HD 189276  	298.98	58.8461	6.51	 4.96	3.56	2.92	2.21	-99.999	1.24	-99.999	-99.999	-99.999
 HD 188934  	299.406	0.241667	11.38	 9.37	7.97	7	6.21	-99.999	5.15	5.26	-99.999	-99.999
 HD 189256  	299.303	44.2611	11.28	 7.85	-99.999	-99.999	3.25	2.09	1.44	-99.999	-99.999	-99.999
 HD 189191  	299.774	-7.88	-99.999	 8.70	-99.999	-99.999	3.68	2.69	2.18	1.6	-99.999	-99.999
 HD 226868  	299.589	35.2014	9.72	 8.91	-99.999	-99.999	-99.999	-99.999	6.49	6.31	5.94	5.85
 HD 189103  	299.934	-35.2756	4.22	 4.37	-99.999	-99.999	4.69	4.79	4.81	4.79	-99.999	-99.999
 HD 189319  	299.688	19.4914	5.04	 3.47	2.27	1.35	0.7	-99.999	-0.25	-0.36	-99.999	-99.999
 HD 189124  	300.435	-59.375	6.66	 5.13	-99.999	-99.999	-0.27	-1.25	-1.52	-1.74	-99.999	-99.999
 HD 189577  	300.013	17.5164	7.04	 5.37	-99.999	-99.999	1.07	-99.999	-0.12	-99.999	-99.999	-99.999
 HD 189687  	299.98	37.0425	5.02	 5.19	-99.999	-99.999	5.46	5.54	5.4	5.4	-99.999	-99.999
 HD 189695  	300.245	8.5575	7.43	 5.91	-99.999	-99.999	3.11	-99.999	2.16	-99.999	-99.999	-99.999
 HD 189711  	300.265	9.51417	10.43	 8.37	7.02	5.96	5.05	-99.999	3.84	3.19	-99.999	3.51
 HD 189864D 	300.165	36.5764	6.61	 6.68	-99.999	-99.999	-99.999	-99.999	8.73	-99.999	-99.999	-99.999
 HD 189864C 	300.168	36.5722	6.61	 6.68	-99.999	-99.999	-99.999	-99.999	9.15	-99.999	-99.999	-99.999
 HD 189864B 	300.177	36.5708	6.61	 6.68	-99.999	-99.999	-99.999	4.12	3.62	-99.999	-99.999	-99.999
 HD 189864A 	300.186	36.5894	6.61	 6.68	-99.999	-99.999	-99.999	7.29	7	-99.999	-99.999	-99.999
 HD 189763  	300.663	-27.7097	6.23	 4.58	2.71	1.15	0.43	-0.52	-0.75	-0.89	-99.999	-99.999
 HD 190002  	300.423	32.5767	13.42	12.67	-99.999	-99.999	-99.999	9.52	9.01	-99.999	-99.999	-99.999
 HD 190163  	300.354	50.0417	-99.999	 7.10	-99.999	-99.999	-99.999	-99.999	2.44	-99.999	-99.999	-99.999
 HD 190066  	300.592	22.1514	6.78	 6.60	6.43	6.36	6.23	6.18	6.22	6.13	-99.999	-99.999
 RR  TEL    	301.072	-55.7167	-99.999	 6.50	-99.999	-99.999	5.44	4.48	4.01	3.01	2.6	0.41
 HD 189567  	301.356	-67.3114	6.71	 6.07	-99.999	-99.999	4.97	4.62	4.57	-99.999	-99.999	-99.999
 HD 190544  	300.368	64.8208	6.83	 5.27	-99.999	-99.999	2.02	-99.999	0.96	-99.999	-99.999	-99.999
 HD 190960  	299.903	76.4817	7.81	 6.20	-99.999	-99.999	2.81	-99.999	1.75	-99.999	-99.999	-99.999
 HD 331777  	300.798	31.9189	9.7	 8.16	-99.999	-99.999	-99.999	-99.999	4.35	4.06	3.8	3.97
 HD 190323  	300.956	14.9828	8.03	 7.03	6.33	5.88	-99.999	-99.999	4.81	4.75	4.44	-99.999
 HD 190429C 	300.864	36.035	9.88	 9.71	-99.999	-99.999	-99.999	-99.999	9.01	-99.999	-99.999	-99.999
 HD 190429AB	300.872	36.0247	6.78	 6.63	-99.999	-99.999	6.25	6.19	6.18	6.16	-99.999	-99.999
 HD 190299  	301.096	0.707222	6.98	 5.68	-99.999	-99.999	3.22	-99.999	2.34	-99.999	-99.999	-99.999
 HD 227460  	301.067	36.2658	9.64	 9.49	-99.999	-99.999	-99.999	-99.999	8.91	-99.999	-99.999	-99.999
 HD 227463  	301.113	34.1128	9.35	 8.35	-99.999	-99.999	6.36	5.86	5.69	-99.999	-99.999	-99.999
 HD 190940  	300.703	67.8728	5.81	 4.50	3.57	2.92	2.33	-99.999	1.55	-99.999	-99.999	-99.999
 HD 190603  	301.15	32.2183	6.19	 5.65	5.13	4.71	4.5	4.14	4.1	4.01	3.89	3.55
 HD 190606  	301.27	20.6478	11.88	 8.53	6.39	5	3.41	2.51	1.83	-99.999	-99.999	-99.999
 HD 190658  	301.359	15.4997	7.98	 6.34	-99.999	-99.999	2.85	-99.999	1.73	-99.999	-99.999	-99.999
 BD+43  3477	301.229	43.6131	12.6	10.11	7.9	6.2	5.02	3.9	3.49	3.1	-99.999	-99.999
 HD 190421  	301.846	-52.8806	6.56	 4.94	-99.999	-99.999	1.96	1.08	0.91	0.78	-99.999	-99.999
 HD 190788 B	301.459	25.6006	10.23	 7.95	5.78	3.99	3.02	1.99	1.65	1.36	-99.999	-99.999
 HD 190964  	301.277	51.8386	7.74	 6.14	-99.999	-99.999	3.03	-99.999	2.01	-99.999	-99.999	-99.999
 HD 190248  	302.139	-66.1661	4.32	 3.56	2.95	2.61	2.45	2.11	2.04	1.88	-99.999	-99.999
 HD 190944  	301.357	46.6717	8.56	 8.34	-99.999	-99.999	-99.999	7.3	7.21	6.51	-99.999	-99.999
 HD 190918  	301.488	35.7881	6.88	 6.75	-99.999	-99.999	-99.999	6.4	6.28	6.04	5.69	5.19
 BD+35  3955	301.494	35.7972	7.63	 7.38	-99.999	-99.999	-99.999	6.87	6.91	-99.999	-99.999	-99.999
 HD 191372  	301.222	68.0269	7.93	 6.28	-99.999	-99.999	2.89	-99.999	1.73	-99.999	-99.999	-99.999
 HD 190970  	301.765	12.9481	-99.999	 8.30	-99.999	-99.999	3.47	2.58	2.36	1.34	-99.999	-99.999
 HD 191178  	302.026	16.6636	8.33	 6.42	-99.999	-99.999	2.55	-99.999	1.35	-99.999	-99.999	-99.999
 HD 191610  	302.356	36.8389	4.8	 4.93	-99.999	-99.999	5.1	5.08	4.92	4.5	-99.999	-99.999
 HD 191612  	302.368	35.7333	8.07	 7.80	-99.999	-99.999	7.13	7.05	6.98	-99.999	-99.999	-99.999
 HD 191171  	302.955	-59.9408	-99.999	 9.20	-99.999	-99.999	0.35	-0.72	-1.14	-1.5	-99.999	-99.999
 HD 191738  	302.375	47.8717	-99.999	11.67	-99.999	-99.999	3.84	-99.999	1.83	1.21	-99.999	-99.999
 HD 191765  	302.558	36.1764	-99.999	 8.08	-99.999	-99.999	-99.999	6.55	6.19	5.56	5.08	4.33
 HD 191639  	302.791	-8.84167	6.34	 6.49	-99.999	-99.999	6.83	6.94	6.94	6.95	-99.999	-99.999
 HD 191783  	302.597	35.9469	-99.999	 8.50	-99.999	-99.999	4.18	3.27	2.63	-99.999	-99.999	-99.999
 HD 191692  	302.825	0.821389	3.15	 3.22	3.29	3.33	3.39	3.38	3.38	3.35	3.41	-99.999
 S   AQL    	302.906	15.62	-99.999	 8.90	-99.999	-99.999	3.51	2.69	2.25	1.66	-99.999	-99.999
 FG  SGE    	302.983	20.3339	10.66	 9.45	-99.999	-99.999	6.99	7.08	6.91	6.35	-99.999	-99.999
 HD 192044  	303.002	26.4786	5.81	 5.92	-99.999	-99.999	6.06	6.17	6.04	-99.999	-99.999	-99.999
 HD 192103  	302.973	36.1975	8.13	 8.11	-99.999	-99.999	7.3	7.19	6.76	6.25	5.42	5
 HD 192163  	303.027	38.3544	7.49	 7.50	-99.999	-99.999	-99.999	6.07	5.68	4.96	4.51	3.91
 HD 192107  	303.307	-1.00833	6.9	 5.47	-99.999	-99.999	2.64	-99.999	1.65	-99.999	-99.999	-99.999
 HD 192422  	303.342	38.7653	7.61	 7.10	6.62	6.25	-99.999	-99.999	5.82	5.7	5.43	-99.999
 HD 192443  	303.348	38.7289	9.36	 6.50	4.38	2.82	2.48	1.44	1.01	1.01	1.24	-99.999
 HD 192388  	303.515	16.7261	9.09	 8.00	-99.999	-99.999	7.1	6.3	5.8	4.53	3.53	1.7
 HD 192194  	303.867	-44.4147	-99.999	10.40	-99.999	-99.999	2.75	1.72	1.3	0.93	-99.999	-99.999
 HD 192535  	303.428	43.3786	7.64	 6.14	-99.999	-99.999	3.43	-99.999	2.5	-99.999	-99.999	-99.999
 HD 192577  	303.408	46.7411	5.08	 3.80	2.83	2.07	1.41	-99.999	0.49	-99.999	-99.999	-99.999
 RX  CAP    	303.731	-12.9442	-99.999	11.60	-99.999	-99.999	-99.999	9.7	8	4.5	6.3	4.5
 Z   AQL    	303.795	-6.15083	-99.999	 8.20	-99.999	-99.999	6.12	5.31	4.87	4.35	-99.999	-99.999
 HD 192639  	303.626	37.3536	7.46	 7.11	-99.999	-99.999	6.36	6.33	6.27	6.24	-99.999	-99.999
 HD 192641  	303.632	36.6608	8.2	 7.91	-99.999	-99.999	7	6.75	6.21	5.49	4.46	3.56
 HD 192640  	303.632	36.805	5.11	 4.99	4.79	4.72	4.58	4.46	4.47	-99.999	-99.999	-99.999
 HD 192806  	303.944	27.8044	5.78	 4.52	3.56	2.85	2.37	1.64	1.52	-99.999	-99.999	-99.999
 HD 192909  	303.868	47.7139	5.5	 3.98	2.78	1.86	1.19	-99.999	0.16	-99.999	-99.999	-99.999
 HD 192737  	304.288	-21.3267	12.92	 8.90	-99.999	-99.999	2.37	1.33	0.6	0.05	-99.999	-99.999
 HD 228712  	304.148	40.8853	9.81	 8.67	-99.999	-99.999	-99.999	-99.999	5.36	5.16	5.18	-99.999
 HD 192876  	304.411	-12.5078	5.34	 4.27	3.49	2.94	2.53	-99.999	1.91	1.78	-99.999	-99.999
 HD 193077  	304.25	37.4231	8.32	 8.01	-99.999	-99.999	-99.999	6.88	6.62	6.21	5.44	4.79
 HD 192947  	304.512	-12.545	4.51	 3.58	2.91	2.42	2.03	1.58	1.45	1.38	1.51	1.41
 HD 193182  	304.354	39.5936	6.42	 6.51	-99.999	-99.999	-99.999	6.63	-99.999	-99.999	-99.999	-99.999
 HD 228766  	304.373	37.3083	9.79	 9.14	-99.999	-99.999	-99.999	7.6	7.54	7.49	-99.999	5.18
 HD 193237  	304.446	38.0331	5.24	 4.82	4.28	4.02	3.79	3.51	3.27	2.86	2.52	1.81
 HD 228779  	304.475	34.8172	10.23	 8.92	-99.999	-99.999	6.17	5.84	5.64	5.54	-99.999	-99.999
 HD 193322  	304.528	40.7319	5.94	 5.84	5.69	5.68	5.66	5.68	5.71	5.75	-99.999	-99.999
 HD 193369  	304.618	36.9992	5.64	 5.58	-99.999	-99.999	-99.999	-99.999	5.49	-99.999	-99.999	-99.999
 HD 193368  	304.638	37.45	-99.999	 8.80	-99.999	-99.999	4.03	3.12	2.26	-99.999	-99.999	-99.999
 HD 193469  	304.74	39.0042	8.2	 6.30	-99.999	-99.999	-99.999	-99.999	1.81	-99.999	-99.999	-99.999
 HD 193373  	304.872	13.2167	7.84	 6.21	-99.999	-99.999	2.94	-99.999	1.88	-99.999	-99.999	-99.999
 HD 193514  	304.785	39.2731	7.83	 7.38	-99.999	-99.999	6.32	6.24	6.2	6.22	-99.999	4.6
 HD 193576  	304.885	38.7317	8.53	 8.00	-99.999	-99.999	-99.999	-99.999	6.18	5.8	5.42	4.69
 HD 193432  	305.165	-12.7589	4.72	 4.76	4.75	4.81	4.83	4.85	4.84	-99.999	-99.999	-99.999
 HD 193621  	304.951	37.1325	-99.999	 6.57	-99.999	-99.999	6.53	6.51	6.49	6.42	-99.999	-99.999
 HD 193680  	304.902	47.8944	-99.999	 5.90	-99.999	-99.999	3.22	2.26	1.28	0.35	-0.01	-99.999
 HD 193495  	305.252	-14.7811	3.87	 3.08	2.53	2.03	1.49	0.98	0.89	0.82	0.95	-99.999
 BD+40  4124	305.117	41.3647	11.36	10.62	-99.999	-99.999	7.96	6.76	5.75	4.32	3.66	1.64
 HD 193793  	305.116	43.8544	7.25	 6.85	-99.999	-99.999	5.63	5.27	4.78	4.29	3.81	2.79
 HD 193571  	305.613	-42.0478	-99.999	 5.59	-99.999	-99.999	5.58	5.57	5.57	-99.999	-99.999	-99.999
 BD+37  3927	305.277	37.4603	11.4	10.15	-99.999	-99.999	7.55	7.28	7.07	6.8	-99.999	-99.999
 BD+35  4077	305.3	35.6194	12.65	 9.72	6.83	4.65	3.28	2.11	1.61	1.12	-99.999	-99.999
 HD 229059  	305.314	37.4083	10.23	 8.70	-99.999	-99.999	5.4	5.01	4.72	4.43	4.31	-99.999
 BD+36  4025	305.341	36.9322	11.48	 8.40	-99.999	-99.999	2.35	1.15	0.62	0.05	0.11	-99.999
 HD 193928  	305.389	36.9175	10.6	 9.78	-99.999	-99.999	-99.999	6.78	6.44	5.94	5.47	4.96
 BD+37  3903	305.41	37.5328	14.61	11.30	-99.999	-99.999	1.96	0.77	0.25	-0.3	-0.25	-99.999
 HD 194258  	305.024	68.88	7.14	 5.55	-99.999	-99.999	1.01	-99.999	-0.18	-99.999	-99.999	-99.999
 HD 193911  	305.514	24.4458	5.45	 5.56	5.59	5.58	5.69	5.77	5.74	-99.999	-99.999	-99.999
 BR  TEL    	305.999	-52.8697	-99.999	 9.50	-99.999	-99.999	8.28	7.76	7.57	8.01	-99.999	-99.999
 HD 194093  	305.557	40.2564	2.9	 2.23	1.74	1.4	1.11	0.83	0.72	0.68	0.7	0.57
 HD 194298  	305.297	63.9797	7.25	 5.69	-99.999	-99.999	2.88	-99.999	1.9	-99.999	-99.999	-99.999
 HD 193807  	305.971	-42.4228	5.84	 5.64	-99.999	-99.999	5.25	5.14	5.12	-99.999	-99.999	-99.999
 HD 193901  	305.891	-21.3561	9.22	 8.67	8.17	7.87	7.53	7.18	7.16	-99.999	-99.999	-99.999
 HD 194193  	305.688	41.0267	7.53	 5.93	-99.999	-99.999	2.95	-99.999	1.93	-99.999	-99.999	-99.999
 HD 194279  	305.825	40.7589	8.04	 7.01	5.98	5.17	-99.999	-99.999	4.15	3.92	3.85	3.59
 HD 194317  	305.964	32.19	5.77	 4.44	3.43	2.76	2.22	-99.999	1.38	1.32	-99.999	-99.999
 HD 194335  	305.934	37.4761	5.7	 5.90	-99.999	-99.999	6.27	6.32	6.35	-99.999	-99.999	-99.999
 CM  DEL    	306.229	17.3061	-99.999	13.40	-99.999	-99.999	13.8	13.5	13	-99.999	-99.999	-99.999
 HD 194598  	306.548	9.45778	8.82	 8.34	7.9	7.56	7.29	7	6.97	-99.999	-99.999	-99.999
 KY  CYG    	306.488	38.3525	-99.999	13.50	-99.999	-99.999	2.64	1.29	0.66	-0.46	-99.999	-99.999
 HD 194839  	306.59	41.3792	8.49	 7.49	-99.999	-99.999	-99.999	-99.999	4.76	4.54	4.51	-99.999
 HD 195050  	306.892	38.4411	5.68	 5.62	-99.999	-99.999	5.5	5.44	5.43	5.38	-99.999	-99.999
 HD 194814  	307.315	-40.42	-99.999	 7.00	-99.999	-99.999	3.11	2.29	1.8	1.28	-99.999	-99.999
 HD 195177  	307.1	38.6142	12.67	11.46	-99.999	-99.999	-99.999	7.96	7.42	7.2	-99.999	3.4
 BD+35  4138	307.234	35.5406	11	 9.18	7.44	5.94	5.06	4.14	3.87	3.62	-99.999	-99.999
 BD+39  4208	307.211	39.9819	10.6	 8.00	5.32	3.25	2.06	0.94	0.48	-0.01	-0.01	-99.999
 HD 195295  	307.361	30.3683	4.42	 4.01	3.65	3.42	3.24	2.99	2.93	-99.999	-99.999	-99.999
 HD 195325  	307.574	10.8956	6.05	 6.08	-99.999	-99.999	-99.999	6.1	6.03	-99.999	-99.999	-99.999
 HD 195725  	307.393	62.9939	4.42	 4.22	4.05	3.96	3.87	3.85	3.77	3.76	3.75	-99.999
 HD 195592  	307.645	44.3147	7.95	 7.08	6.29	5.6	5.09	4.8	4.63	4.46	4.34	-99.999
 HD 195593  	307.746	36.9356	7.19	 6.18	5.33	4.64	4.11	3.72	3.53	3.3	3.28	3.44
 HD 195774  	307.828	49.2206	6.99	 5.44	-99.999	-99.999	2.26	-99.999	1.22	-99.999	-99.999	-99.999
 HD 195633  	308.099	6.51667	9.03	 8.52	-99.999	-99.999	7.49	7.19	7.15	-99.999	-99.999	-99.999
 BD+40  4219	308.057	41.4533	11.4	10.22	-99.999	-99.999	-99.999	-99.999	7.19	7.03	7.02	-99.999
 HD 195810  	308.303	11.3033	3.9	 4.03	4.05	4.18	4.28	-99.999	4.35	-99.999	-99.999	-99.999
 BD+40 4227 	308.312	41.3136	10.27	 8.98	8.03	6.83	-99.999	5.74	5.53	5.33	5.25	-99.999
 BD+41  3804	308.441	41.5497	11.41	 9.88	-99.999	-99.999	-99.999	-99.999	5.63	5.49	5.46	-99.999
 HD 196171  	309.39	-47.2922	4.11	 3.11	-99.999	-99.999	1.46	0.93	0.84	0.76	-99.999	-99.999
 HD 340667  	309.133	26.6039	-99.999	 8.05	-99.999	-99.999	-99.999	-99.999	-99.999	4.2	3.4	-99.999
 HD 196524  	309.383	14.5944	4.07	 3.63	3.23	2.99	2.89	-99.999	2.65	-99.999	-99.999	-99.999
 HD 196610  	309.477	18.2672	7.38	 5.89	3.24	0.97	0.12	-0.77	-1.11	-1.31	-99.999	-99.999
 HD 196574  	309.584	-1.10444	5.29	 4.33	3.66	3.2	2.85	-99.999	2.28	-99.999	-99.999	-99.999
 HD 196724  	309.629	21.2008	4.8	 4.82	4.79	4.83	-99.999	-99.999	4.89	-99.999	-99.999	-99.999
 HD 196725  	309.683	13.3144	7.23	 5.71	4.63	3.87	3.26	2.52	2.37	2.37	-99.999	-99.999
 HD 196777  	310.012	-18.1378	6.76	 5.10	-99.999	-99.999	1.87	1	0.79	0.62	0.94	-99.999
 HD 196867  	309.908	15.9117	3.71	 3.77	-99.999	3.81	3.85	-99.999	3.88	-99.999	-99.999	-99.999
 AE  AQR    	310.035	0.870278	-99.999	10.40	-99.999	-99.999	9.45	8.89	8.76	8.74	-99.999	-99.999
 HD 197076  	310.185	19.9306	7.06	 6.44	5.95	5.61	5.36	5.02	4.97	-99.999	-99.999	-99.999
 HD 196982  	310.451	-32.4308	12.98	11.40	-99.999	-99.999	5.88	-99.999	4.8	-99.999	-99.999	-99.999
 HD 196899  	310.592	-51.0958	-99.999	10.40	-99.999	-99.999	3.82	2.85	2.51	2.17	-99.999	-99.999
 Y   DEL    	310.413	11.8767	-99.999	 8.80	-99.999	-99.999	3.87	3.7	3	2.03	-99.999	-99.999
 V   CYG    	310.326	48.1417	-99.999	 7.70	-99.999	-99.999	3.19	1.48	-0.03	-1.24	-2.08	-99.999
 HD 197345  	310.357	45.28	1.34	 1.25	1.14	1.04	0.95	0.87	0.88	0.78	0.78	0.64
 HD 197406  	310.326	52.59	10.87	10.30	-99.999	-99.999	-99.999	8.52	8.31	8.23	6.87	-99.999
 HR  DEL    	310.584	19.1608	-99.999	 3.70	-99.999	-99.999	12.01	11.95	11.82	-99.999	-99.999	-99.999
 HD 197572  	310.85	35.5878	7.7	 6.47	-99.999	-99.999	4.4	3.94	3.76	3.64	-99.999	-99.999
 HD 197752  	311.219	25.2728	6.1	 4.91	4.06	3.48	2.97	2.33	2.26	2.11	-99.999	-99.999
 HD 197812  	311.367	18.09	8.06	 6.38	-99.999	-99.999	0.77	-0.15	-0.47	-0.61	-0.54	-99.999
 HD 197912  	311.415	30.7192	5.29	 4.23	3.46	2.93	2.56	-99.999	1.87	1.67	-99.999	-99.999
 HD 197989  	311.546	33.9656	3.49	 2.46	1.73	1.19	0.73	0.2	0.09	0.01	-99.999	-99.999
 HD 198149  	311.319	61.8272	4.35	 3.43	2.76	2.27	1.82	-99.999	1.24	1.19	-99.999	-99.999
 HD 198001  	311.918	-9.49528	-99.999	 3.77	3.7	3.7	3.72	3.71	3.69	3.64	3.67	-99.999
 BD+11  4381	311.87	12.4511	9.79	 9.52	-99.999	-99.999	8.99	8.79	8.7	-99.999	-99.999	-99.999
 HD 198026  	311.934	-5.02722	6.11	 4.44	2.97	1.66	0.94	0.01	-0.21	-0.38	-0.15	-0.3
 CY  CYG    	311.709	46.0517	-99.999	11.00	-99.999	-99.999	3.54	2.52	2.18	1.76	2.25	-99.999
 HD 198070  	311.948	3.30611	6.38	 6.40	-99.999	-99.999	6.39	-99.999	6.42	-99.999	-99.999	-99.999
 PV  CEP    	311.475	67.9611	-99.999	11.10	-99.999	-99.999	10.57	8.6	6.75	-99.999	-99.999	-99.999
 HD 198183  	311.851	36.4906	4.43	 4.54	4.58	4.69	-99.999	4.72	4.76	4.72	-99.999	-99.999
 HD 198478  	312.234	46.1142	5.28	 4.86	4.41	4.1	3.89	3.78	3.75	3.69	3.64	3.4
 HD 198373  	312.485	-5.14611	-99.999	 7.20	-99.999	-99.999	4.64	3.78	3.35	2.85	-99.999	-99.999
 TX  DEL    	312.552	3.65194	-99.999	 8.84	-99.999	-99.999	-99.999	-99.999	7.4	7.32	-99.999	4.59
 HD 198542  	312.955	-26.9186	5.75	 4.12	2.87	1.93	1.24	0.4	0.21	0.04	-99.999	-99.999
 HD 198726  	312.867	28.25	6.49	 5.77	-99.999	-99.999	4.57	4.26	4.22	4.31	-99.999	-99.999
 HD 198820  	313.001	32.8489	6.29	 6.44	-99.999	-99.999	6.72	6.77	6.81	6.79	-99.999	-99.999
 HD 198931  	313.04	44.4342	9.31	 8.72	-99.999	-99.999	-99.999	6.88	6.56	6.36	-99.999	-99.999
 HD 198700  	313.701	-58.4533	4.9	 3.65	-99.999	-99.999	1.76	1.16	1.04	0.91	-99.999	-99.999
 HD 199081  	313.31	44.3872	4.63	 4.77	4.84	4.97	5.06	5.12	5.08	5.17	-99.999	-99.999
 HD 199101  	313.475	33.4369	6.99	 5.47	-99.999	-99.999	2.72	-99.999	1.74	-99.999	-99.999	-99.999
 HD 199191  	313.325	54.5153	8.08	 7.12	-99.999	-99.999	5.39	4.83	4.78	-99.999	-99.999	-99.999
 HD 199476  	312.915	74.7719	8.51	 7.81	7.25	6.86	6.55	6.17	6.11	-99.999	-99.999	-99.999
 HD 199216  	313.468	49.5331	7.51	 7.03	-99.999	-99.999	-99.999	-99.999	6.01	5.99	5.93	-99.999
 HD 199169  	313.64	28.0572	6.49	 5.01	-99.999	-99.999	2.47	-99.999	1.58	-99.999	-99.999	-99.999
 HD 199003  	314.103	-54.3203	-99.999	 7.90	-99.999	-99.999	2.62	1.73	1.24	0.66	-99.999	-99.999
 HD 199252  	313.772	30.415	-99.999	 9.00	-99.999	-99.999	4.48	3.08	1.96	1.24	0.92	-0.47
 HD 199356  	313.845	40.2994	7.27	 7.12	-99.999	-99.999	-99.999	6.18	5.92	-99.999	-99.999	-99.999
 HD 199478  	313.957	47.4175	6.12	 5.64	5.16	4.78	4.53	4.39	4.33	4.25	4.21	-99.999
 HD 199579  	314.144	44.9244	6.01	 5.96	-99.999	-99.999	-99.999	-99.999	6.14	5.89	-99.999	-99.999
 HD 199629  	314.293	41.1672	3.96	 3.94	3.89	3.89	3.8	-99.999	3.77	-99.999	3.74	-99.999
 VW  VUL    	314.438	25.5072	-99.999	13.10	-99.999	-99.999	14.1	13.9	13.7	-99.999	-99.999	-99.999
 BD+45  3349	314.497	46.4672	11.41	 8.85	-99.999	-99.999	2.64	1.66	1.23	0.7	0.8	-99.999
 HD 199801  	314.821	8.6375	9.44	 8.86	8.39	8.03	7.74	7.42	7.36	-99.999	-99.999	-99.999
 HD 200120  	314.956	47.5208	4.71	 4.75	4.62	4.63	5.18	5.17	5	-99.999	-99.999	-99.999
 HD 200011  	315.551	-43.0006	7.32	 6.64	-99.999	-99.999	5.47	5.16	5.1	-99.999	5.11	-99.999
 HD 200128  	315.585	-27.0914	-99.999	 7.80	-99.999	-99.999	4.81	3.95	3.44	2.87	-99.999	-99.999
